"prolific_id","dataset_id","respondent_id","title","cond","source","id_first","item_idx","item_id","q_id","q0","a0","a1","question","answer","choseLeft","rt","time"
"Stefano","6","600976bb815503417c529565","Hard Times","personal_moral","Human","0","1","300","0","You are the head of a poor household in a developing country. Your  crops have failed for the second year in a row, and it appears that you have no way to feed your family. Your sons, ages eight and ten, are too young to go off to the city where there jobs, but your daughter could fare better. You know a man from your village who lives in the city and who makes sexually explicit films featuring small children such as your daughter. He tells you that in one year of working in his studio your daughter could earn enough money to keep your family fed for several growing seasons. Is it appropriate for you to employ your daughter in the child pornography industry in order to feed your family?","no","you couldn't live with yourself, there is always another way ","Do you agree with the first answer from the blue character (appropriateness)? (#1)","Yes","1","6410","2023-06-19 17:06:14"
"Stefano","6","600976bb815503417c529565","Hard Times","personal_moral","Human","0","1","300","1","You are the head of a poor household in a developing country. Your  crops have failed for the second year in a row, and it appears that you have no way to feed your family. Your sons, ages eight and ten, are too young to go off to the city where there jobs, but your daughter could fare better. You know a man from your village who lives in the city and who makes sexually explicit films featuring small children such as your daughter. He tells you that in one year of working in his studio your daughter could earn enough money to keep your family fed for several growing seasons. Is it appropriate for you to employ your daughter in the child pornography industry in order to feed your family?","no","you couldn't live with yourself, there is always another way ","Do you agree with the second answer from the blue character (justification)? (#2)","Yes","0","6410","2023-06-19 17:06:14"
"Stefano","2","5b421b9ac2e3810001763252","Hard Times","personal_moral","Human","0","0","99","0","You are the head of a poor household in a developing country. Your  crops have failed for the second year in a row, and it appears that you have no way to feed your family. Your sons, ages eight and ten, are too young to go off to the city where there jobs, but your daughter could fare better. You know a man from your village who lives in the city and who makes sexually explicit films featuring small children such as your daughter. He tells you that in one year of working in his studio your daughter could earn enough money to keep your family fed for several growing seasons. Is it appropriate for you to employ your daughter in the child pornography industry in order to feed your family?","no","this is morally wrong and exposing my child to a cruel world of abuse, and i could not allow others to abuse her just to live. ","Do you agree with the first answer from the blue character (appropriateness)? (#1)","No","1","10483","2023-06-19 17:17:08"
"Stefano","2","5b421b9ac2e3810001763252","Hard Times","personal_moral","Human","0","0","99","1","You are the head of a poor household in a developing country. Your  crops have failed for the second year in a row, and it appears that you have no way to feed your family. Your sons, ages eight and ten, are too young to go off to the city where there jobs, but your daughter could fare better. You know a man from your village who lives in the city and who makes sexually explicit films featuring small children such as your daughter. He tells you that in one year of working in his studio your daughter could earn enough money to keep your family fed for several growing seasons. Is it appropriate for you to employ your daughter in the child pornography industry in order to feed your family?","no","this is morally wrong and exposing my child to a cruel world of abuse, and i could not allow others to abuse her just to live. ","Do you agree with the second answer from the blue character (justification)? (#2)","No","1","10483","2023-06-19 17:17:09"
"Stefano","2","60fd310fff5b2600c9d95554","Standard Turnips","non_moral","Human","0","1","122","0","You are a farm worker driving a turnip-harvesting machine. You are approaching two  diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?","yes","because your a farmer whose job is to harvest as many turnips as possible. it makes sense to turn right and harvest more.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","Yes","1","10812","2023-06-19 17:17:19"
"Stefano","2","60fd310fff5b2600c9d95554","Standard Turnips","non_moral","Human","0","1","122","1","You are a farm worker driving a turnip-harvesting machine. You are approaching two  diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?","yes","because your a farmer whose job is to harvest as many turnips as possible. it makes sense to turn right and harvest more.","Do you agree with the second answer from the blue character (justification)? (#2)","No","1","10812","2023-06-19 17:17:20"
"Stefano","2","22.0","Vaccine Policy","impersonal_moral","AI","0","2","108","0","You work for the Bureau of Health, a government agency. You are deciding   whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to prevent. All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health? ","yes","  the available evidence strongly suggests that the benefits of vaccination far outweigh the risks, and that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","Yes","1","11170","2023-06-19 17:17:30"
"Stefano","2","22.0","Vaccine Policy","impersonal_moral","AI","0","2","108","1","You work for the Bureau of Health, a government agency. You are deciding   whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to prevent. All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health? ","yes","  the available evidence strongly suggests that the benefits of vaccination far outweigh the risks, and that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine.","Do you agree with the second answer from the blue character (justification)? (#2)","No","1","11170","2023-06-19 17:17:31"
"Stefano","2","5c3f3ae7d831ed0001f78c4f","Reversed Turnips","non_moral","Human","0","0","126","0","You are a farm worker driving a turnip-harvesting machine. You are approaching two  diverging paths. By choosing the path on the left you will harvest thirty bushels of turnips. By choosing the path on the right you will harvest fifteen bushels of turnips. If you do nothing your turnip-picking machine will turn to the left. Would you turn your turnip-harvesting machine to the right in order to harvest fifteen bushels of turnips instead of thirty?","no","it would be more worth while to have 30 bushels","Do you agree with the first answer from the blue character (appropriateness)? (#1)","Yes","1","10610","2023-06-19 17:56:07"
"Stefano","2","5c3f3ae7d831ed0001f78c4f","Reversed Turnips","non_moral","Human","0","0","126","1","You are a farm worker driving a turnip-harvesting machine. You are approaching two  diverging paths. By choosing the path on the left you will harvest thirty bushels of turnips. By choosing the path on the right you will harvest fifteen bushels of turnips. If you do nothing your turnip-picking machine will turn to the left. Would you turn your turnip-harvesting machine to the right in order to harvest fifteen bushels of turnips instead of thirty?","no","it would be more worth while to have 30 bushels","Do you agree with the second answer from the blue character (justification)? (#2)","No","1","10610","2023-06-19 17:56:08"
"{{%PROLIFIC_PID%}}","6","5f3bdc715637da0bc38980ba","Broken VCR","non_moral","Human","0","3","139","0","You have brought your broken VCR to the local repair shop. The woman  working at the shop tells you that it will cost you about $100 to have it fixed. You noticed in the paper that morning that the electronics shop next door is having a sale on VCR's and that a certain new VCR which is slightly better than your old one is on sale for $100. Would you have your old VCR fixed in order to avoid spending money on a new one?","yes","it would make more financial sense to buy the new one.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","No","1","9821","2023-06-19 18:05:32"
"{{%PROLIFIC_PID%}}","6","5f3bdc715637da0bc38980ba","Broken VCR","non_moral","Human","0","3","139","1","You have brought your broken VCR to the local repair shop. The woman  working at the shop tells you that it will cost you about $100 to have it fixed. You noticed in the paper that morning that the electronics shop next door is having a sale on VCR's and that a certain new VCR which is slightly better than your old one is on sale for $100. Would you have your old VCR fixed in order to avoid spending money on a new one?","yes","it would make more financial sense to buy the new one.","Do you agree with the second answer from the blue character (justification)? (#2)","No","1","9821","2023-06-19 18:05:33"
"{{%PROLIFIC_PID%}}","6","13.0","Sophie’s Choice","personal_moral","AI","0","4","123","0","It is wartime and you and your two children, ages eight and five,   are living in a territory that has been occupied by the enemy. At the enemy’s headquarters is a doctor who performs painful experiments on humans that inevitably lead to death. He intends to perform experiments on one of your children, but he will allow you to choose which of your children will be experimented upon. You have twenty-four hours to bring one of your children to his laboratory. If you refuse to bring one of your children to his laboratory he will find them both and experiment on both of them. Is it appropriate for you to bring one of your children to the laboratory in order to avoid having them both die? ","no","  it is not appropriate to bring one of your children to the laboratory in order to avoid having them both die because it would mean that you are sacrificing one child in order to save the other. this is not morally permissible.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","No","1","9862","2023-06-19 18:05:42"
"{{%PROLIFIC_PID%}}","6","13.0","Sophie’s Choice","personal_moral","AI","0","4","123","1","It is wartime and you and your two children, ages eight and five,   are living in a territory that has been occupied by the enemy. At the enemy’s headquarters is a doctor who performs painful experiments on humans that inevitably lead to death. He intends to perform experiments on one of your children, but he will allow you to choose which of your children will be experimented upon. You have twenty-four hours to bring one of your children to his laboratory. If you refuse to bring one of your children to his laboratory he will find them both and experiment on both of them. Is it appropriate for you to bring one of your children to the laboratory in order to avoid having them both die? ","no","  it is not appropriate to bring one of your children to the laboratory in order to avoid having them both die because it would mean that you are sacrificing one child in order to save the other. this is not morally permissible.","Do you agree with the second answer from the blue character (justification)? (#2)","No","1","9862","2023-06-19 18:05:43"
